ORI - Agency,Crime Against,MICR Offense,Offenses
 Benton Township Police Department Total,All Other, Obstructing Police,71
 Benton Township Police Department Total,All Other, Escape/Flight,2
 Benton Township Police Department Total,All Other, Obstructing Justice,311
 Benton Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,15
 Benton Township Police Department Total,All Other, Health And Safety,243
 Benton Township Police Department Total,All Other, Civil Rights,1
 Benton Township Police Department Total,All Other, Smuggling,3
 Benton Township Police Department Total,All Other, Conservation,31
 Benton Township Police Department Total,All Other, Juvenile Runaway,28
 Benton Township Police Department Total,All Other, Miscellaneous Criminal Offense,25
 Benton Township Police Department Total,All Other,,742
 Berrien Springs,All Other,,322
 Berrien Springs,Person, Kidnapping/Abduction,0
 Berrien Springs,Person, Sexual Penetration Penis/Vagina CSC 1st,2
 Berrien Springs,Person, Sexual Penetration Oral/Anal CSC 1st,0
 Berrien Springs,Person, Sexual Penetration Oral/Anal CSC 3rd,1
 Berrien Springs,Person, Sexual Contact Forcible CSC 2nd,1
 Berrien Springs,Person, Sexual Contact Forcible CSC 4th,3
 Berrien Springs,Person, Nonaggravated Assault,29
 Berrien Springs,Person, Aggravated/Felonious Assault,6
 Berrien Springs,Person, Intimidation/Stalking,4
 Berrien Springs,Person, Non,1
 Berrien Springs,Person,,47
 Berrien Springs,Property, Extortion,0
 Berrien Springs,Property, Burglary Forced Entry,4
 Berrien Springs,Property, Burglary Entry Without Force (Intent),1
 Berrien Springs,Property, Burglary Entry w/out Authorization w/or w/out Force,3
 Berrien Springs,Property, Larceny Pocketpicking,1
 Berrien Springs,Property, Larceny Pursesnatching,0
 Berrien Springs,Property, Larceny Theft from Building,2
 Berrien Springs,Property, Larceny Theft from Motor Vehicle,6
 Berrien Springs,Property, Larceny Theft of Motor Vehicle Parts/Accessories,7
 Berrien Springs,Property, Larceny Other,22
 Berrien Springs,Property, Motor Vehicle Theft,0
 Berrien Springs,Property, Motor Vehicle as Stolen Property,0
 Berrien Springs,Property, Forgery/Counterfeiting,7
 Berrien Springs,Property, Fraud False Pretense/Swindle/Confidence Game,23
 Berrien Springs,Property, Fraud Credit Card/ATM,4
 Berrien Springs,Property, Fraud Impersonation,1
 Berrien Springs,Property, Fraud Wire,2
 Berrien Springs,Property, Fraud Bad Checks,3
 Berrien Springs,Property, Fraud Identity Theft,2
 Berrien Springs,Property, Fraud Hacking/Computer Invasion,2
 Berrien Springs,Property, Embezzlement,0
 Berrien Springs,Property, Stolen Property,2
 Berrien Springs,Property, Damage To Property,20
 Berrien Springs,Property, Retail Fraud Theft,2
 Berrien Springs,Property,,114
 Berrien Springs,Society, Violation of Controlled Substance,7
 Berrien Springs,Society, Narcotic Equipment Violations,2
 Berrien Springs,Society, Obscenity,1
 Berrien Springs,Society, Family Other,1
 Berrien Springs,Society, Liquor Violations Other,5
 Berrien Springs,Society, Weapons Offense Concealed,5
 Berrien Springs,Society, Weapons Offense Other,2
 Berrien Springs,Society, Disorderly Conduct,4
 Berrien Springs,Society, Public Peace Other,14
 Berrien Springs,Society, OUIL or OUID,25
 Berrien Springs,Society, Trespass,8
 Berrien Springs,Society, Animal Cruelty,0
 Berrien Springs,Society,,74
 Berrien Springs,All Other, Sex Offense Other,0
 Berrien Springs,All Other, Obstructing Police,13
 Berrien Springs,All Other, Escape/Flight,1
 Berrien Springs,All Other, Obstructing Justice,55
 Berrien Springs,All Other, Hit And Run Motor Vehicle Accident,0
 Berrien Springs,All Other, Health And Safety,15
 Berrien Springs,All Other, Juvenile Runaway,3
 Berrien Springs,All Other, Miscellaneous Criminal Offense,0
 Berrien Springs,All Other,,87
 Bridgman Police Department Total,All Other,,328
 Bridgman Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Bridgman Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Bridgman Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Bridgman Police Department Total,Person, Sexual Contact Forcible CSC 4th,2
 Bridgman Police Department Total,Person, Nonaggravated Assault,15
 Bridgman Police Department Total,Person, Aggravated/Felonious Assault,1
 Bridgman Police Department Total,Person, Intimidation/Stalking,14
 Bridgman Police Department Total,Person,,34
 Bridgman Police Department Total,Property, Burglary Forced Entry,2
 Bridgman Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,3
 Bridgman Police Department Total,Property, Larceny Theft from Building,1
 Bridgman Police Department Total,Property, Larceny Theft from Motor Vehicle,3
 Bridgman Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,3
 Bridgman Police Department Total,Property, Larceny Other,8
 Bridgman Police Department Total,Property, Motor Vehicle Theft,1
 Bridgman Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Bridgman Police Department Total,Property, Forgery/Counterfeiting,4
 Bridgman Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,3
 Bridgman Police Department Total,Property, Fraud Credit Card/ATM,4
 Bridgman Police Department Total,Property, Fraud Impersonation,2
 Bridgman Police Department Total,Property, Embezzlement,1
 Bridgman Police Department Total,Property, Stolen Property,0
 Bridgman Police Department Total,Property, Damage To Property,12
 Bridgman Police Department Total,Property,,47
 Bridgman Police Department Total,Society, Violation of Controlled Substance,13
 Bridgman Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Bridgman Police Department Total,Society, Family Other,0
 Bridgman Police Department Total,Society, Liquor License Establishment,1
 Bridgman Police Department Total,Society, Liquor Violations Other,7
 Bridgman Police Department Total,Society, Drunkenness,1
 Bridgman Police Department Total,Society, Weapons Offense Concealed,5
 Bridgman Police Department Total,Society, Weapons Offense Other,1
 Bridgman Police Department Total,Society, Disorderly Conduct,8
 Bridgman Police Department Total,Society, Public Peace Other,32
 Bridgman Police Department Total,Society, OUIL or OUID,5
 Bridgman Police Department Total,Society, Trespass,10
 Bridgman Police Department Total,Society,,85
 Bridgman Police Department Total,All Other, Obstructing Police,6
 Bridgman Police Department Total,All Other, Obstructing Justice,11
 Bridgman Police Department Total,All Other, Hit And Run Motor Vehicle Accident,2
 Bridgman Police Department Total,All Other, Health And Safety,140
 Bridgman Police Department Total,All Other, Invasion of Privacy Other,1
 Bridgman Police Department Total,All Other, Conservation,1
 Bridgman Police Department Total,All Other, Juvenile Runaway,0
 Bridgman Police Department Total,All Other, Miscellaneous Criminal Offense,1
 Bridgman Police Department Total,All Other,,162
 Buchanan Police Department Total,All Other,,646
 Buchanan Police Department Total,Person, Parental Kidnapping,1
 Buchanan Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Buchanan Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,3
 Buchanan Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,1
 Buchanan Police Department Total,Person, Sexual Penetration Object CSC 1st,1
 Buchanan Police Department Total,Person, Sexual Penetration Object CSC 3rd,0
 Buchanan Police Department Total,Person, Sexual Contact Forcible CSC 2nd,3
 Buchanan Police Department Total,Person, Sexual Contact Forcible CSC 4th,5
 Buchanan Police Department Total,Person, Nonaggravated Assault,38
 Buchanan Police Department Total,Person, Aggravated/Felonious Assault,7
 Buchanan Police Department Total,Person, Intimidation/Stalking,31
 Buchanan Police Department Total,Person,,90
 Buchanan Police Department Total,Property, Robbery,2
 Buchanan Police Department Total,Property, Burglary Forced Entry,4
 Buchanan Police Department Total,Property, Burglary Entry Without Force (Intent),2
 Buchanan Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,6
 Buchanan Police Department Total,Property, Larceny Theft from Building,7
 Buchanan Police Department Total,Property, Larceny Theft from Coin Operated Machine/Device,1
 Buchanan Police Department Total,Property, Larceny Theft from Motor Vehicle,33
 Buchanan Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,4
 Buchanan Police Department Total,Property, Larceny Other,39
 Buchanan Police Department Total,Property, Motor Vehicle Theft,12
 Buchanan Police Department Total,Property, Forgery/Counterfeiting,2
 Buchanan Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,7
 Buchanan Police Department Total,Property, Fraud Credit Card/ATM,7
 Buchanan Police Department Total,Property, Fraud Impersonation,4
 Buchanan Police Department Total,Property, Fraud Wire,2
 Buchanan Police Department Total,Property, Fraud Bad Checks,1
 Buchanan Police Department Total,Property, Fraud Identity Theft,2
 Buchanan Police Department Total,Property, Fraud Hacking/Computer Invasion,1
 Buchanan Police Department Total,Property, Embezzlement,0
 Buchanan Police Department Total,Property, Stolen Property,1
 Buchanan Police Department Total,Property, Damage To Property,36
 Buchanan Police Department Total,Property, Retail Fraud Theft,15
 Buchanan Police Department Total,Property,,188
 Buchanan Police Department Total,Society, Violation of Controlled Substance,2
 Buchanan Police Department Total,Society, Obscenity,1
 Buchanan Police Department Total,Society, Family Abuse/Neglect Nonviolent,5
 Buchanan Police Department Total,Society, Family Other,7
 Buchanan Police Department Total,Society, Liquor Violations Other,2
 Buchanan Police Department Total,Society, Drunkenness,3
 Buchanan Police Department Total,Society, Weapons Offense Concealed,1
 Buchanan Police Department Total,Society, Weapons Offense Other,3
 Buchanan Police Department Total,Society, Disorderly Conduct,5
 Buchanan Police Department Total,Society, Public Peace Other,169
 Buchanan Police Department Total,Society, OUIL or OUID,3
 Buchanan Police Department Total,Society, Trespass,24
 Buchanan Police Department Total,Society, Animal Cruelty,2
 Buchanan Police Department Total,Society,,227
 Buchanan Police Department Total,All Other, Possession of Burglary Tools,1
 Buchanan Police Department Total,All Other, Sex Offense Other,4
 Buchanan Police Department Total,All Other, Obstructing Police,7
 Buchanan Police Department Total,All Other, Escape/Flight,1
 Buchanan Police Department Total,All Other, Obstructing Justice,37
 Buchanan Police Department Total,All Other, Health And Safety,77
 Buchanan Police Department Total,All Other, Civil Rights,2
 Buchanan Police Department Total,All Other, Invasion of Privacy Other,0
 Buchanan Police Department Total,All Other, Juvenile Runaway,12
 Buchanan Police Department Total,All Other,,141
 Eau Claire Police Department Total,All Other,,6
 Eau Claire Police Department Total,Person, Nonaggravated Assault,1
 Eau Claire Police Department Total,Person, Intimidation/Stalking,2
 Eau Claire Police Department Total,Person,,3
 Eau Claire Police Department Total,Property, Burglary Forced Entry,1
 Eau Claire Police Department Total,Property, Larceny Other,0
 Eau Claire Police Department Total,Property, Motor Vehicle Theft,0
 Eau Claire Police Department Total,Property, Fraud Wire,0
 Eau Claire Police Department Total,Property, Fraud Bad Checks,0
 Eau Claire Police Department Total,Property,,1
 Eau Claire Police Department Total,Society, Family Abuse/Neglect Nonviolent,0
 Eau Claire Police Department Total,Society, Weapons Offense Other,1
 Eau Claire Police Department Total,Society, Public Peace Other,0
 Eau Claire Police Department Total,Society,,1
 Eau Claire Police Department Total,All Other, Sex Offense Other,1
 Eau Claire Police Department Total,All Other,,1
 Grand Beach/Michiana Police Department Total,All Other,,40
 Grand Beach/Michiana Police Department Total,Person, Nonaggravated Assault,1
 Grand Beach/Michiana Police Department Total,Person,,1
 Grand Beach/Michiana Police Department Total,Property, Burglary Forced Entry,3
 Grand Beach/Michiana Police Department Total,Property, Burglary Entry Without Force (Intent),1
 Grand Beach/Michiana Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Grand Beach/Michiana Police Department Total,Property, Larceny Theft from Motor Vehicle,0
 Grand Beach/Michiana Police Department Total,Property, Larceny Other,4
 Grand Beach/Michiana Police Department Total,Property, Motor Vehicle Theft,0
 Grand Beach/Michiana Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,0
 Grand Beach/Michiana Police Department Total,Property, Fraud Wire,1
 Grand Beach/Michiana Police Department Total,Property, Fraud Identity Theft,0
 Grand Beach/Michiana Police Department Total,Property, Stolen Property,0
 Grand Beach/Michiana Police Department Total,Property, Damage To Property,7
 Grand Beach/Michiana Police Department Total,Property,,16
 Grand Beach/Michiana Police Department Total,Society, Liquor Violations Other,0
 Grand Beach/Michiana Police Department Total,Society, Weapons Offense Explosives,1
 Grand Beach/Michiana Police Department Total,Society, Public Peace Other,6
 Grand Beach/Michiana Police Department Total,Society, OUIL or OUID,1
 Grand Beach/Michiana Police Department Total,Society, Trespass,4
 Grand Beach/Michiana Police Department Total,Society,,12
 Grand Beach/Michiana Police Department Total,All Other, Immigration,0
 Grand Beach/Michiana Police Department Total,All Other, Sex Offense Other,0
 Grand Beach/Michiana Police Department Total,All Other, Obstructing Police,1
 Grand Beach/Michiana Police Department Total,All Other, Obstructing Justice,1
 Grand Beach/Michiana Police Department Total,All Other, Hit And Run Motor Vehicle Accident,0
 Grand Beach/Michiana Police Department Total,All Other, Health And Safety,8
 Grand Beach/Michiana Police Department Total,All Other, Conservation,1
 Grand Beach/Michiana Police Department Total,All Other,,11
 New Buffalo Police Department Total,All Other,,108
 New Buffalo Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 New Buffalo Police Department Total,Person, Nonaggravated Assault,12
 New Buffalo Police Department Total,Person, Aggravated/Felonious Assault,1
 New Buffalo Police Department Total,Person, Intimidation/Stalking,6
 New Buffalo Police Department Total,Person,,19
 New Buffalo Police Department Total,Property, Burglary Forced Entry,2
 New Buffalo Police Department Total,Property, Burglary Entry Without Force (Intent),0
 New Buffalo Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 New Buffalo Police Department Total,Property, Larceny Theft from Building,1
 New Buffalo Police Department Total,Property, Larceny Theft from Motor Vehicle,1
 New Buffalo Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,3
 New Buffalo Police Department Total,Property, Larceny Other,14
 New Buffalo Police Department Total,Property, Motor Vehicle Theft,0
 New Buffalo Police Department Total,Property, Motor Vehicle as Stolen Property,1
 New Buffalo Police Department Total,Property, Forgery/Counterfeiting,0
 New Buffalo Police Department Total,Property, Fraud Credit Card/ATM,1
 New Buffalo Police Department Total,Property, Fraud Impersonation,1
 New Buffalo Police Department Total,Property, Fraud Bad Checks,1
 New Buffalo Police Department Total,Property, Fraud Identity Theft,0
 New Buffalo Police Department Total,Property, Stolen Property,2
 New Buffalo Police Department Total,Property, Damage To Property,7
 New Buffalo Police Department Total,Property, Retail Fraud Theft,1
 New Buffalo Police Department Total,Property, Retail Fraud Refund/Exchange,1
 New Buffalo Police Department Total,Property,,36
 New Buffalo Police Department Total,Society, Violation of Controlled Substance,1
 New Buffalo Police Department Total,Society, Family Abuse/Neglect Nonviolent,1
 New Buffalo Police Department Total,Society, Disorderly Conduct,2
 New Buffalo Police Department Total,Society, Public Peace Other,4
 New Buffalo Police Department Total,Society, OUIL or OUID,18
 New Buffalo Police Department Total,Society, Trespass,7
 New Buffalo Police Department Total,Society,,33
 New Buffalo Police Department Total,All Other, Obstructing Police,2
 New Buffalo Police Department Total,All Other, Obstructing Justice,13
 New Buffalo Police Department Total,All Other, Hit And Run Motor Vehicle Accident,5
 New Buffalo Police Department Total,All Other, Health And Safety,0
 New Buffalo Police Department Total,All Other, Juvenile Runaway,0
 New Buffalo Police Department Total,All Other,,20
 Niles Police Department Total,All Other,,1588
 Niles Police Department Total,Person, Kidnapping/Abduction,0
 Niles Police Department Total,Person, Parental Kidnapping,1
 Niles Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,3
 Niles Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,4
 Niles Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,5
 Niles Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,1
 Niles Police Department Total,Person, Sexual Penetration Object CSC 1st,2
 Niles Police Department Total,Person, Sexual Penetration Object CSC 3rd,1
 Niles Police Department Total,Person, Sexual Contact Forcible CSC 2nd,10
 Niles Police Department Total,Person, Sexual Contact Forcible CSC 4th,13
 Niles Police Department Total,Person, Nonaggravated Assault,216
 Niles Police Department Total,Person, Aggravated/Felonious Assault,41
 Niles Police Department Total,Person, Intimidation/Stalking,16
 Niles Police Department Total,Person,,313
 Niles Police Department Total,Property, Robbery,8
 Niles Police Department Total,Property, Arson,6
 Niles Police Department Total,Property, Extortion,2
 Niles Police Department Total,Property, Burglary Forced Entry,21
 Niles Police Department Total,Property, Burglary Entry Without Force (Intent),2
 Niles Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,16
 Niles Police Department Total,Property, Larceny Pocketpicking,1
 Niles Police Department Total,Property, Larceny Theft from Building,54
 Niles Police Department Total,Property, Larceny Theft from Motor Vehicle,67
 Niles Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,20
 Niles Police Department Total,Property, Larceny Other,70
 Niles Police Department Total,Property, Motor Vehicle Theft,44
 Niles Police Department Total,Property, Motor Vehicle as Stolen Property,14
 Niles Police Department Total,Property, Forgery/Counterfeiting,3
 Niles Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,20
 Niles Police Department Total,Property, Fraud Credit Card/ATM,24
 Niles Police Department Total,Property, Fraud Impersonation,1
 Niles Police Department Total,Property, Fraud Wire,7
 Niles Police Department Total,Property, Fraud Bad Checks,7
 Niles Police Department Total,Property, Fraud Identity Theft,2
 Niles Police Department Total,Property, Embezzlement,5
 Niles Police Department Total,Property, Stolen Property,15
 Niles Police Department Total,Property, Damage To Property,119
 Niles Police Department Total,Property, Retail Fraud Misrepresentation,0
 Niles Police Department Total,Property, Retail Fraud Theft,19
 Niles Police Department Total,Property, Retail Fraud Refund/Exchange,0
 Niles Police Department Total,Property,,547
 Niles Police Department Total,Society, Violation of Controlled Substance,125
 Niles Police Department Total,Society, Peeping Tom,0
 Niles Police Department Total,Society, Obscenity,7
 Niles Police Department Total,Society, Family Abuse/Neglect Nonviolent,27
 Niles Police Department Total,Society, Family Other,3
 Niles Police Department Total,Society, Liquor Violations Other,5
 Niles Police Department Total,Society, Weapons Offense Concealed,25
 Niles Police Department Total,Society, Weapons Offense Other,8
 Niles Police Department Total,Society, Disorderly Conduct,49
 Niles Police Department Total,Society, Public Peace Other,13
 Niles Police Department Total,Society, OUIL or OUID,63
 Niles Police Department Total,Society, Trespass,12
 Niles Police Department Total,Society,,337
 Niles Police Department Total,All Other, Possession of Burglary Tools,1
 Niles Police Department Total,All Other, Sex Offense Other,4
 Niles Police Department Total,All Other, Obstructing Police,59
 Niles Police Department Total,All Other, Escape/Flight,1
 Niles Police Department Total,All Other, Obstructing Justice,230
 Niles Police Department Total,All Other, Hit And Run Motor Vehicle Accident,0
 Niles Police Department Total,All Other, Health And Safety,76
 Niles Police Department Total,All Other, Invasion of Privacy Other,2
 Niles Police Department Total,All Other, Juvenile Runaway,18
 Niles Police Department Total,All Other,,391
 Saint Joseph Department of Public Safety Total,All Other,,732
 Saint Joseph Department of Public Safety Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Saint Joseph Department of Public Safety Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,3
 Saint Joseph Department of Public Safety Total,Person, Sexual Penetration Oral/Anal CSC 1st,1
 Saint Joseph Department of Public Safety Total,Person, Sexual Penetration Oral/Anal CSC 3rd,1
 Saint Joseph Department of Public Safety Total,Person, Sexual Contact Forcible CSC 2nd,0
 Saint Joseph Department of Public Safety Total,Person, Sexual Contact Forcible CSC 4th,2
 Saint Joseph Department of Public Safety Total,Person, Nonaggravated Assault,62
 Saint Joseph Department of Public Safety Total,Person, Aggravated/Felonious Assault,10
 Saint Joseph Department of Public Safety Total,Person, Intimidation/Stalking,38
 Saint Joseph Department of Public Safety Total,Person, Non,1
 Saint Joseph Department of Public Safety Total,Person, Sexual Penetration Nonforcible Other,0
 Saint Joseph Department of Public Safety Total,Person,,118
 Saint Joseph Department of Public Safety Total,Property, Robbery,2
 Saint Joseph Department of Public Safety Total,Property, Extortion,0
 Saint Joseph Department of Public Safety Total,Property, Burglary Forced Entry,3
 Saint Joseph Department of Public Safety Total,Property, Burglary Entry Without Force (Intent),4
 Saint Joseph Department of Public Safety Total,Property, Burglary Entry w/out Authorization w/or w/out Force,5
 Saint Joseph Department of Public Safety Total,Property, Larceny Pursesnatching,1
 Saint Joseph Department of Public Safety Total,Property, Larceny Theft from Building,19
 Saint Joseph Department of Public Safety Total,Property, Larceny Theft from Motor Vehicle,7
 Saint Joseph Department of Public Safety Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,4
 Saint Joseph Department of Public Safety Total,Property, Larceny Other,21
 Saint Joseph Department of Public Safety Total,Property, Motor Vehicle Theft,4
 Saint Joseph Department of Public Safety Total,Property, Forgery/Counterfeiting,16
 Saint Joseph Department of Public Safety Total,Property, Fraud False Pretense/Swindle/Confidence Game,13
 Saint Joseph Department of Public Safety Total,Property, Fraud Credit Card/ATM,7
 Saint Joseph Department of Public Safety Total,Property, Fraud Impersonation,4
 Saint Joseph Department of Public Safety Total,Property, Fraud Welfare,1
 Saint Joseph Department of Public Safety Total,Property, Fraud Wire,2
 Saint Joseph Department of Public Safety Total,Property, Fraud Bad Checks,3
 Saint Joseph Department of Public Safety Total,Property, Fraud Identity Theft,8
 Saint Joseph Department of Public Safety Total,Property, Fraud Hacking/Computer Invasion,0
 Saint Joseph Department of Public Safety Total,Property, Embezzlement,4
 Saint Joseph Department of Public Safety Total,Property, Stolen Property,1
 Saint Joseph Department of Public Safety Total,Property, Damage To Property,36
 Saint Joseph Department of Public Safety Total,Property, Retail Fraud Misrepresentation,0
 Saint Joseph Department of Public Safety Total,Property, Retail Fraud Theft,9
 Saint Joseph Department of Public Safety Total,Property,,174
 Saint Joseph Department of Public Safety Total,Society, Violation of Controlled Substance,21
 Saint Joseph Department of Public Safety Total,Society, Family Abuse/Neglect Nonviolent,1
 Saint Joseph Department of Public Safety Total,Society, Family Other,3
 Saint Joseph Department of Public Safety Total,Society, Liquor Violations Other,8
 Saint Joseph Department of Public Safety Total,Society, Weapons Offense Concealed,5
 Saint Joseph Department of Public Safety Total,Society, Weapons Offense Other,6
 Saint Joseph Department of Public Safety Total,Society, Disorderly Conduct,7
 Saint Joseph Department of Public Safety Total,Society, Public Peace Other,167
 Saint Joseph Department of Public Safety Total,Society, OUIL or OUID,44
 Saint Joseph Department of Public Safety Total,Society, Trespass,56
 Saint Joseph Department of Public Safety Total,Society, Animal Cruelty,0
 Saint Joseph Department of Public Safety Total,Society,,318
 Saint Joseph Department of Public Safety Total,All Other, Sex Offense Other,2
 Saint Joseph Department of Public Safety Total,All Other, Obstructing Police,9
 Saint Joseph Department of Public Safety Total,All Other, Obstructing Justice,29
 Saint Joseph Department of Public Safety Total,All Other, Hit And Run Motor Vehicle Accident,40
 Saint Joseph Department of Public Safety Total,All Other, Health And Safety,16
 Saint Joseph Department of Public Safety Total,All Other, Civil Rights,0
 Saint Joseph Department of Public Safety Total,All Other, Conservation,0
 Saint Joseph Department of Public Safety Total,All Other, Juvenile Runaway,3
 Saint Joseph Department of Public Safety Total,All Other, Miscellaneous Criminal Offense,23
 Saint Joseph Department of Public Safety Total,All Other, Solicitation (All Crimes Except Prostitution),0
 Saint Joseph Department of Public Safety Total,All Other,,122
 Lincoln Township Police Department Total,All Other,,643
 Lincoln Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,6
 Lincoln Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Lincoln Township Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,1
 Lincoln Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,9
 Lincoln Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,6
 Lincoln Township Police Department Total,Person, Nonaggravated Assault,70
 Lincoln Township Police Department Total,Person, Aggravated/Felonious Assault,8
 Lincoln Township Police Department Total,Person, Intimidation/Stalking,12
 Lincoln Township Police Department Total,Person, Human Trafficking Commerical Sex Acts,0
 Lincoln Township Police Department Total,Person,,112
 Lincoln Township Police Department Total,Property, Arson,0
 Lincoln Township Police Department Total,Property, Extortion,0
 Lincoln Township Police Department Total,Property, Burglary Forced Entry,14
 Lincoln Township Police Department Total,Property, Burglary Entry Without Force (Intent),5
 Lincoln Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,3
 Lincoln Township Police Department Total,Property, Larceny Pocketpicking,1
 Lincoln Township Police Department Total,Property, Larceny Pursesnatching,0
 Lincoln Township Police Department Total,Property, Larceny Theft from Building,9
 Lincoln Township Police Department Total,Property, Larceny Theft from Motor Vehicle,25
 Lincoln Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,19
 Lincoln Township Police Department Total,Property, Larceny Other,79
 Lincoln Township Police Department Total,Property, Motor Vehicle Theft,12
 Lincoln Township Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Lincoln Township Police Department Total,Property, Forgery/Counterfeiting,9
 Lincoln Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,13
 Lincoln Township Police Department Total,Property, Fraud Credit Card/ATM,19
 Lincoln Township Police Department Total,Property, Fraud Impersonation,2
 Lincoln Township Police Department Total,Property, Fraud Wire,7
 Lincoln Township Police Department Total,Property, Fraud Bad Checks,3
 Lincoln Township Police Department Total,Property, Fraud Identity Theft,23
 Lincoln Township Police Department Total,Property, Fraud Hacking/Computer Invasion,2
 Lincoln Township Police Department Total,Property, Embezzlement,2
 Lincoln Township Police Department Total,Property, Damage To Property,59
 Lincoln Township Police Department Total,Property, Retail Fraud Misrepresentation,1
 Lincoln Township Police Department Total,Property, Retail Fraud Theft,28
 Lincoln Township Police Department Total,Property, Retail Fraud Refund/Exchange,0
 Lincoln Township Police Department Total,Property, Retail Fraud Organized Crime,0
 Lincoln Township Police Department Total,Property,,335
 Lincoln Township Police Department Total,Society, Violation of Controlled Substance,21
 Lincoln Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,5
 Lincoln Township Police Department Total,Society, Family Other,2
 Lincoln Township Police Department Total,Society, Liquor Violations Other,1
 Lincoln Township Police Department Total,Society, Weapons Offense Concealed,2
 Lincoln Township Police Department Total,Society, Weapons Offense Other,2
 Lincoln Township Police Department Total,Society, Disorderly Conduct,6
 Lincoln Township Police Department Total,Society, Public Peace Other,39
 Lincoln Township Police Department Total,Society, OUIL or OUID,19
 Lincoln Township Police Department Total,Society, Trespass,18
 Lincoln Township Police Department Total,Society, Animal Cruelty,0
 Lincoln Township Police Department Total,Society,,115
 Lincoln Township Police Department Total,All Other, Sex Offense Other,4
 Lincoln Township Police Department Total,All Other, Obstructing Police,3
 Lincoln Township Police Department Total,All Other, Escape/Flight,2
 Lincoln Township Police Department Total,All Other, Obstructing Justice,46
 Lincoln Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,12
 Lincoln Township Police Department Total,All Other, Health And Safety,6
 Lincoln Township Police Department Total,All Other, Conservation,1
 Lincoln Township Police Department Total,All Other, Juvenile Runaway,0
 Lincoln Township Police Department Total,All Other, Miscellaneous Criminal Offense,6
 Lincoln Township Police Department Total,All Other, Solicitation (All Crimes Except Prostitution),1
 Lincoln Township Police Department Total,All Other,,81
 Three Oaks Police Department Total,All Other,,94
 Three Oaks Police Department Total,Person, Kidnapping/Abduction,0
 Three Oaks Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,2
 Three Oaks Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,1
 Three Oaks Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Three Oaks Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Three Oaks Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Three Oaks Police Department Total,Person, Nonaggravated Assault,10
 Three Oaks Police Department Total,Person, Aggravated/Felonious Assault,0
 Three Oaks Police Department Total,Person, Intimidation/Stalking,3
 Three Oaks Police Department Total,Person,,18
 Three Oaks Police Department Total,Property, Robbery,0
 Three Oaks Police Department Total,Property, Burglary Forced Entry,0
 Three Oaks Police Department Total,Property, Burglary Entry Without Force (Intent),0
