,ORI - Agency,Crime Against,MICR Offense,Victims,Offenses,Incidents,Arrests,Exceptional Clearance,Clearance Rate,2021 Crimes,2020 Crimes,Percent Change
1703, MSP Niles Total,Society, Violation of Controlled Substance,0,85,66,57,1,0.8787878787878788,85,126,-0.3253968253968254
1704, MSP Niles Total,Society, Narcotic Equipment Violations,0,16,2,0,0,0.0,16,30,-0.4666666666666667
1705, MSP Niles Total,Society, Peeping Tom,0,0,0,0,0,0.0,0,1,-1
1706, MSP Niles Total,Society, Obscenity,0,3,2,2,0,1.0,3,2,0.5
1707, MSP Niles Total,Society, Family Abuse/Neglect Nonviolent,5,5,5,1,1,0.4,5,10,-0.5
1708, MSP Niles Total,Society, Family Nonsupport,0,0,0,0,0,0.0,0,1,-1
1709, MSP Niles Total,Society, Family Other,0,6,6,0,0,0.0,6,2,2
1710, MSP Niles Total,Society, Liquor Violations Other,0,3,0,0,0,0.0,3,9,-0.6666666666666666
1711, MSP Niles Total,Society, Weapons Offense Concealed,0,76,68,63,0,0.9264705882352942,76,102,-0.2549019607843137
1712, MSP Niles Total,Society, Weapons Offense Other,0,14,11,7,0,0.6363636363636364,14,18,-0.2222222222222222
1713, MSP Niles Total,Society, Disorderly Conduct,0,0,0,0,0,0.0,0,3,-1
1714, MSP Niles Total,Society, Public Peace Other,0,2,2,1,0,0.5,2,4,-0.5
1715, MSP Niles Total,Society, OUIL or OUID,0,146,124,119,0,0.9596774193548387,146,182,-0.1978021978021978
1716, MSP Niles Total,Society, Trespass,0,11,10,0,2,0.2,11,19,-0.42105263157894735
1717, MSP Niles Total,Society, Animal Cruelty,0,1,1,0,1,1.0,1,0,-0.42105263157894735
1718, MSP Niles Total,Society,,5,368,297,250,5,0.8585858585858586,368,509,-0.2770137524557957
1719, MSP Niles Total,All Other, Possession of Burglary Tools,0,0,0,0,0,0.0,0,1,-1
1720, MSP Niles Total,All Other, Sex Offense Other,5,4,4,2,1,0.75,4,2,1
1721, MSP Niles Total,All Other, Obstructing Police,1,61,40,16,1,0.425,61,68,-0.10294117647058823
1722, MSP Niles Total,All Other, Escape/Flight,0,1,1,1,0,1.0,1,9,-0.8888888888888888
1723, MSP Niles Total,All Other, Obstructing Justice,0,148,123,118,2,0.975609756097561,148,269,-0.44981412639405205
1724, MSP Niles Total,All Other, Hit And Run Motor Vehicle Accident,6,5,5,3,1,0.8,5,5,0
1725, MSP Niles Total,All Other, Health And Safety,2,5,4,0,2,0.5,5,18,-0.7222222222222222
1726, MSP Niles Total,All Other, Smuggling,0,0,0,0,0,0.0,0,2,-1
1727, MSP Niles Total,All Other, Election Laws,0,0,0,0,0,0.0,0,3,-1
1728, MSP Niles Total,All Other, Tax/Revenue,0,2,2,1,0,0.5,2,0,-1
1729, MSP Niles Total,All Other, Conservation,0,2,2,0,0,0.0,2,2,0
1730, MSP Niles Total,All Other, Juvenile Runaway,0,5,5,2,0,0.4,5,6,-0.16666666666666666
1731, MSP Niles Total,All Other, Miscellaneous Criminal Offense,0,2,1,0,0,0.0,2,6,-0.6666666666666666
1732, MSP Niles Total,All Other,,14,235,187,143,7,0.8021390374331551,235,391,-0.3989769820971867
1733, Berrien County Sheriff's Office Total,All Other,,2008,3465,3106,859,146,0.32356728911783644,3646,3541,0.029652640497034737
1734, Berrien County Sheriff's Office Total,Person, Kidnapping/Abduction,0,1,0,0,0,0.0,0,0,0.029652640497034737
1735, Berrien County Sheriff's Office Total,Person, Parental Kidnapping,3,2,2,0,0,0.0,3,2,0.5
1736, Berrien County Sheriff's Office Total,Person, Sexual Penetration Penis/Vagina CSC 1st,24,22,22,1,3,0.18181818181818182,24,15,0.6
1737, Berrien County Sheriff's Office Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,6,5,5,0,2,0.4,6,4,0.5
1738, Berrien County Sheriff's Office Total,Person, Sexual Penetration Oral/Anal CSC 1st,5,5,5,0,1,0.2,5,5,0
1739, Berrien County Sheriff's Office Total,Person, Sexual Penetration Oral/Anal CSC 3rd,3,2,2,0,0,0.0,3,0,0
1740, Berrien County Sheriff's Office Total,Person, Sexual Penetration Object CSC 1st,6,5,5,1,1,0.4,6,1,5
1741, Berrien County Sheriff's Office Total,Person, Sexual Contact Forcible CSC 2nd,18,14,14,0,1,0.07142857142857142,18,12,0.5
1742, Berrien County Sheriff's Office Total,Person, Sexual Contact Forcible CSC 4th,31,28,28,2,6,0.2857142857142857,31,29,0.06896551724137931
1743, Berrien County Sheriff's Office Total,Person, Nonaggravated Assault,631,511,509,109,68,0.3477406679764244,631,462,0.3658008658008658
1744, Berrien County Sheriff's Office Total,Person, Aggravated/Felonious Assault,122,94,93,34,6,0.43010752688172044,122,83,0.46987951807228917
1745, Berrien County Sheriff's Office Total,Person, Intimidation/Stalking,64,56,56,2,1,0.05357142857142857,64,47,0.3617021276595745
1746, Berrien County Sheriff's Office Total,Person, Sexual Penetration Nonforcible Blood/Affinity,0,0,0,0,0,0.0,0,1,-1
1747, Berrien County Sheriff's Office Total,Person, Sexual Penetration Nonforcible Other,0,0,0,0,0,0.0,0,1,-1
1748, Berrien County Sheriff's Office Total,Person,,913,745,741,149,89,0.32118758434547906,913,662,0.37915407854984895
1749, Berrien County Sheriff's Office Total,Property, Robbery,5,7,7,0,1,0.14285714285714285,7,4,0.75
1750, Berrien County Sheriff's Office Total,Property, Arson,2,3,3,0,0,0.0,3,5,-0.4
1751, Berrien County Sheriff's Office Total,Property, Extortion,3,4,3,0,0,0.0,4,1,3
1752, Berrien County Sheriff's Office Total,Property, Burglary Forced Entry,96,98,97,6,2,0.08247422680412371,109,118,-0.07627118644067797
1753, Berrien County Sheriff's Office Total,Property, Burglary Entry Without Force (Intent),17,16,15,1,0,0.06666666666666667,16,18,-0.1111111111111111
1754, Berrien County Sheriff's Office Total,Property, Burglary Entry w/out Authorization w/or w/out Force,33,40,25,4,0,0.16,40,56,-0.2857142857142857
1755, Berrien County Sheriff's Office Total,Property, Larceny Pocketpicking,2,2,2,0,0,0.0,2,1,1
1756, Berrien County Sheriff's Office Total,Property, Larceny Theft from Building,23,30,30,1,2,0.1,30,46,-0.34782608695652173
1757, Berrien County Sheriff's Office Total,Property, Larceny Theft from Coin Operated Machine/Device,0,1,1,0,0,0.0,1,0,-0.34782608695652173
1758, Berrien County Sheriff's Office Total,Property, Larceny Theft from Motor Vehicle,128,116,115,1,2,0.02608695652173913,116,106,0.09433962264150944
1759, Berrien County Sheriff's Office Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,43,60,59,0,0,0.0,60,40,0.5
1760, Berrien County Sheriff's Office Total,Property, Larceny Other,155,180,178,6,9,0.08426966292134831,180,158,0.13924050632911392
1761, Berrien County Sheriff's Office Total,Property, Motor Vehicle Theft,71,80,74,5,2,0.0945945945945946,82,72,0.1388888888888889
1762, Berrien County Sheriff's Office Total,Property, Motor Vehicle as Stolen Property,13,15,14,3,0,0.21428571428571427,15,13,0.15384615384615385
1763, Berrien County Sheriff's Office Total,Property, Forgery/Counterfeiting,8,16,15,0,0,0.0,16,21,-0.23809523809523808
1764, Berrien County Sheriff's Office Total,Property, Fraud False Pretense/Swindle/Confidence Game,41,41,40,0,0,0.0,41,46,-0.10869565217391304
1765, Berrien County Sheriff's Office Total,Property, Fraud Credit Card/ATM,23,31,29,0,0,0.0,31,37,-0.16216216216216217
1766, Berrien County Sheriff's Office Total,Property, Fraud Impersonation,17,17,17,0,1,0.058823529411764705,17,20,-0.15
1767, Berrien County Sheriff's Office Total,Property, Fraud Welfare,1,1,1,0,0,0.0,1,1,0
1768, Berrien County Sheriff's Office Total,Property, Fraud Wire,12,11,11,0,0,0.0,11,2,4.5
1769, Berrien County Sheriff's Office Total,Property, Fraud Bad Checks,11,14,14,0,0,0.0,14,8,0.75
1770, Berrien County Sheriff's Office Total,Property, Fraud Identity Theft,10,9,9,0,0,0.0,9,11,-0.18181818181818182
1771, Berrien County Sheriff's Office Total,Property, Fraud Hacking/Computer Invasion,0,0,0,0,0,0.0,0,2,-1
1772, Berrien County Sheriff's Office Total,Property, Embezzlement,0,5,5,3,0,0.6,5,6,-0.16666666666666666
1773, Berrien County Sheriff's Office Total,Property, Stolen Property,14,14,12,5,0,0.4166666666666667,14,17,-0.17647058823529413
1774, Berrien County Sheriff's Office Total,Property, Damage To Property,147,236,161,4,4,0.049689440993788817,236,250,-0.056
1775, Berrien County Sheriff's Office Total,Property, Retail Fraud Misrepresentation,0,9,9,2,0,0.2222222222222222,9,5,0.8
1776, Berrien County Sheriff's Office Total,Property, Retail Fraud Theft,7,128,125,20,3,0.184,128,111,0.15315315315315314
1777, Berrien County Sheriff's Office Total,Property, Retail Fraud Refund/Exchange,0,1,1,1,0,1.0,1,10,-0.9
1778, Berrien County Sheriff's Office Total,Property,,882,1185,1072,62,26,0.08208955223880597,1198,1185,0.010970464135021098
1779, Berrien County Sheriff's Office Total,Society, Violation of Controlled Substance,0,150,131,53,1,0.4122137404580153,150,170,-0.11764705882352941
1780, Berrien County Sheriff's Office Total,Society, Narcotic Equipment Violations,0,6,3,1,1,0.6666666666666666,6,4,0.5
1781, Berrien County Sheriff's Office Total,Society, Peeping Tom,0,0,0,0,0,0.0,0,1,-1
1782, Berrien County Sheriff's Office Total,Society, Obscenity,0,19,17,2,1,0.17647058823529413,19,13,0.46153846153846156
1783, Berrien County Sheriff's Office Total,Society, Family Abuse/Neglect Nonviolent,61,49,46,3,12,0.32608695652173914,49,34,0.4411764705882353
1784, Berrien County Sheriff's Office Total,Society, Family Nonsupport,1,1,1,0,0,0.0,1,3,-0.6666666666666666
1785, Berrien County Sheriff's Office Total,Society, Family Other,8,7,5,0,0,0.0,7,7,0
1786, Berrien County Sheriff's Office Total,Society, Liquor Violations Other,0,44,21,12,0,0.5714285714285714,44,58,-0.2413793103448276
1787, Berrien County Sheriff's Office Total,Society, Drunkenness,0,0,0,0,0,0.0,0,1,-1
1788, Berrien County Sheriff's Office Total,Society, Weapons Offense Concealed,0,49,38,29,1,0.7894736842105263,49,41,0.1951219512195122
1789, Berrien County Sheriff's Office Total,Society, Weapons Offense Explosives,0,3,3,0,0,0.0,3,3,0
1790, Berrien County Sheriff's Office Total,Society, Weapons Offense Other,0,30,22,6,2,0.36363636363636365,30,40,-0.25
1791, Berrien County Sheriff's Office Total,Society, Disorderly Conduct,0,145,135,7,1,0.05925925925925926,145,115,0.2608695652173913
1792, Berrien County Sheriff's Office Total,Society, Public Peace Other,0,77,75,1,2,0.04,77,101,-0.2376237623762376
1793, Berrien County Sheriff's Office Total,Society, OUIL or OUID,0,187,171,166,0,0.9707602339181286,187,154,0.21428571428571427
1794, Berrien County Sheriff's Office Total,Society, Trespass,43,51,41,5,1,0.14634146341463414,51,61,-0.16393442622950818
1795, Berrien County Sheriff's Office Total,Society,,113,818,709,285,22,0.4330042313117066,818,806,0.01488833746898263
1796, Berrien County Sheriff's Office Total,All Other, Negligent Homicide Vehicle/Boat,0,0,0,0,0,0.0,0,1,-1
1797, Berrien County Sheriff's Office Total,All Other, Possession of Burglary Tools,0,0,0,0,0,0.0,0,2,-1
1798, Berrien County Sheriff's Office Total,All Other, Sex Offense Other,0,9,6,0,0,0.0,9,11,-0.18181818181818182
1799, Berrien County Sheriff's Office Total,All Other, Obstructing Police,0,112,72,43,3,0.6388888888888888,112,137,-0.18248175182481752
1800, Berrien County Sheriff's Office Total,All Other, Escape/Flight,0,7,5,0,0,0.0,7,14,-0.5
1801, Berrien County Sheriff's Office Total,All Other, Obstructing Justice,0,467,412,302,3,0.7402912621359223,467,570,-0.18070175438596492
1802, Berrien County Sheriff's Office Total,All Other, Hit And Run Motor Vehicle Accident,48,42,31,12,0,0.3870967741935484,42,34,0.23529411764705882
1803, Berrien County Sheriff's Office Total,All Other, Health And Safety,23,25,23,3,0,0.13043478260869565,25,54,-0.5370370370370371
1804, Berrien County Sheriff's Office Total,All Other, Invasion of Privacy Other,6,12,3,0,1,0.3333333333333333,12,9,0.3333333333333333
1805, Berrien County Sheriff's Office Total,All Other, Smuggling,0,12,4,1,0,0.25,12,8,0.5
1806, Berrien County Sheriff's Office Total,All Other, Conservation,0,5,5,1,0,0.2,5,12,-0.5833333333333334
1807, Berrien County Sheriff's Office Total,All Other, Juvenile Runaway,22,22,20,0,1,0.05,22,29,-0.2413793103448276
1808, Berrien County Sheriff's Office Total,All Other, Miscellaneous Criminal Offense,0,3,2,1,1,1.0,3,7,-0.5714285714285714
1809, Berrien County Sheriff's Office Total,All Other, Solicitation (All Crimes Except Prostitution),1,1,1,0,0,0.0,1,0,-0.5714285714285714
1810, Berrien County Sheriff's Office Total,All Other,,100,717,584,363,9,0.636986301369863,717,888,-0.19256756756756757
1811, Baroda,All Other,,167,244,233,41,14,0.23605150214592274,256,237,0.08016877637130802
1812, Baroda,Person, Kidnapping/Abduction,0,0,0,0,0,0.0,0,4,-1
1813, Baroda,Person, Sexual Penetration Penis/Vagina CSC 1st,1,1,1,0,0,0.0,1,2,-0.5
1814, Baroda,Person, Sexual Contact Forcible CSC 2nd,0,0,0,0,0,0.0,0,1,-1
1815, Baroda,Person, Sexual Contact Forcible CSC 4th,0,0,0,0,0,0.0,0,1,-1
1816, Baroda,Person, Nonaggravated Assault,46,35,35,11,9,0.5714285714285714,46,27,0.7037037037037037
1817, Baroda,Person, Aggravated/Felonious Assault,2,2,2,1,0,0.5,2,6,-0.6666666666666666
1818, Baroda,Person, Intimidation/Stalking,17,17,17,0,0,0.0,17,5,2.4
1819, Baroda,Person,,66,55,55,12,9,0.38181818181818183,66,46,0.43478260869565216
1820, Baroda,Property, Burglary Forced Entry,6,6,6,0,0,0.0,7,13,-0.46153846153846156
1821, Baroda,Property, Burglary Entry Without Force (Intent),1,1,1,0,0,0.0,1,0,-0.46153846153846156
1822, Baroda,Property, Burglary Entry w/out Authorization w/or w/out Force,2,2,2,1,0,0.5,2,6,-0.6666666666666666
1823, Baroda,Property, Larceny Theft from Building,3,4,4,1,1,0.5,4,0,-0.6666666666666666
1824, Baroda,Property, Larceny Theft from Motor Vehicle,0,1,0,0,0,0.0,1,1,0
1825, Baroda,Property, Larceny Theft of Motor Vehicle Parts/Accessories,10,10,10,0,0,0.0,10,1,9
1826, Baroda,Property, Larceny Other,12,15,15,0,0,0.0,15,19,-0.21052631578947367
1827, Baroda,Property, Motor Vehicle Theft,4,5,5,1,0,0.2,5,6,-0.16666666666666666
1828, Baroda,Property, Forgery/Counterfeiting,0,2,2,1,0,0.5,2,1,1
1829, Baroda,Property, Fraud False Pretense/Swindle/Confidence Game,9,9,9,1,1,0.2222222222222222,9,8,0.125
1830, Baroda,Property, Fraud Credit Card/ATM,10,10,10,0,0,0.0,10,9,0.1111111111111111
1831, Baroda,Property, Fraud Impersonation,1,1,1,0,0,0.0,1,1,0
1832, Baroda,Property, Fraud Wire,2,3,3,0,0,0.0,3,1,2
1833, Baroda,Property, Fraud Bad Checks,1,3,3,0,0,0.0,3,5,-0.4
1834, Baroda,Property, Fraud Identity Theft,3,3,3,0,0,0.0,3,5,-0.4
1835, Baroda,Property, Damage To Property,14,18,17,0,1,0.058823529411764705,18,18,0
1836, Baroda,Property, Retail Fraud Theft,0,2,2,0,0,0.0,2,0,0
1837, Baroda,Property,,78,95,93,5,3,0.08602150537634409,96,94,0.02127659574468085
1838, Baroda,Society, Violation of Controlled Substance,0,9,9,4,0,0.4444444444444444,9,16,-0.4375
1839, Baroda,Society, Obscenity,0,1,1,0,0,0.0,1,0,-0.4375
1840, Baroda,Society, Family Abuse/Neglect Nonviolent,5,1,0,0,0,0.0,1,1,0
1841, Baroda,Society, Family Other,0,0,0,0,0,0.0,0,2,-1
1842, Baroda,Society, Liquor Violations Other,0,1,0,0,0,0.0,1,1,0
1843, Baroda,Society, Weapons Offense Concealed,0,4,4,3,0,0.75,4,2,1
1844, Baroda,Society, Weapons Offense Other,0,2,2,1,0,0.5,2,2,0
1845, Baroda,Society, Disorderly Conduct,0,10,10,0,0,0.0,10,5,1
1846, Baroda,Society, Public Peace Other,0,23,22,0,1,0.045454545454545456,23,23,0
1847, Baroda,Society, OUIL or OUID,0,9,8,7,0,0.875,9,10,-0.1
1848, Baroda,Society, Trespass,7,7,7,1,1,0.2857142857142857,7,6,0.16666666666666666
1849, Baroda,Society,,12,67,63,16,2,0.2857142857142857,67,68,-0.014705882352941176
1850, Baroda,All Other, Sex Offense Other,0,2,2,0,0,0.0,2,1,1
1851, Baroda,All Other, Obstructing Police,0,4,3,2,0,0.6666666666666666,4,6,-0.3333333333333333
1852, Baroda,All Other, Obstructing Justice,0,9,7,4,0,0.5714285714285714,9,15,-0.4
1853, Baroda,All Other, Hit And Run Motor Vehicle Accident,7,5,4,0,0,0.0,5,3,0.6666666666666666
1854, Baroda,All Other, Health And Safety,2,2,2,1,0,0.5,2,2,0
1855, Baroda,All Other, Invasion of Privacy Other,1,1,1,1,0,1.0,1,0,0
1856, Baroda,All Other, Smuggling,0,1,0,0,0,0.0,1,0,0
1857, Baroda,All Other, Conservation,0,2,2,0,0,0.0,2,0,0
1858, Baroda,All Other, Juvenile Runaway,1,1,1,0,0,0.0,1,2,-0.5
1859, Baroda,All Other,,11,27,22,8,0,0.36363636363636365,27,29,-0.06896551724137931
1860, Benton Harbor Department of Public Safety Total,All Other,,1836,2712,2677,338,10,0.12999626447515875,2767,3042,-0.09040105193951348
1861, Benton Harbor Department of Public Safety Total,Person, Murder/Nonnegligent Manslaughter (Voluntary),7,6,6,0,0,0.0,7,2,2.5
1862, Benton Harbor Department of Public Safety Total,Person, Kidnapping/Abduction,1,1,1,0,0,0.0,1,0,2.5
1863, Benton Harbor Department of Public Safety Total,Person, Parental Kidnapping,0,0,0,0,0,0.0,0,1,-1
1864, Benton Harbor Department of Public Safety Total,Person, Sexual Penetration Penis/Vagina CSC 1st,5,5,5,1,0,0.2,5,5,0
1865, Benton Harbor Department of Public Safety Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,2,2,2,0,0,0.0,2,4,-0.5
1866, Benton Harbor Department of Public Safety Total,Person, Sexual Penetration Oral/Anal CSC 1st,2,2,2,1,0,0.5,2,2,0
1867, Benton Harbor Department of Public Safety Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0,0,0,0,0,0.0,0,1,-1
1868, Benton Harbor Department of Public Safety Total,Person, Sexual Penetration Object CSC 1st,1,1,1,0,0,0.0,1,0,-1
1869, Benton Harbor Department of Public Safety Total,Person, Sexual Penetration Object CSC 3rd,1,1,1,0,0,0.0,1,1,0
1870, Benton Harbor Department of Public Safety Total,Person, Sexual Contact Forcible CSC 2nd,4,4,4,0,0,0.0,4,3,0.3333333333333333
1871, Benton Harbor Department of Public Safety Total,Person, Sexual Contact Forcible CSC 4th,5,5,5,1,1,0.4,5,7,-0.2857142857142857
1872, Benton Harbor Department of Public Safety Total,Person, Nonaggravated Assault,253,240,240,59,4,0.2625,253,329,-0.23100303951367782
1873, Benton Harbor Department of Public Safety Total,Person, Aggravated/Felonious Assault,154,125,125,28,3,0.248,154,167,-0.07784431137724551
1874, Benton Harbor Department of Public Safety Total,Person, Intimidation/Stalking,75,74,74,0,1,0.013513513513513514,75,84,-0.10714285714285714
1875, Benton Harbor Department of Public Safety Total,Person, Non,52,41,41,1,0,0.024390243902439025,52,47,0.10638297872340426
1876, Benton Harbor Department of Public Safety Total,Person,,562,507,507,91,9,0.19723865877712032,562,653,-0.13935681470137826
1877, Benton Harbor Department of Public Safety Total,Property, Robbery,16,15,15,0,0,0.0,15,11,0.36363636363636365
1878, Benton Harbor Department of Public Safety Total,Property, Carjacking,1,1,1,0,0,0.0,1,0,0.36363636363636365
1879, Benton Harbor Department of Public Safety Total,Property, Arson,5,5,4,0,0,0.0,5,7,-0.2857142857142857
1880, Benton Harbor Department of Public Safety Total,Property, Burglary Forced Entry,34,34,34,4,0,0.11764705882352941,34,56,-0.39285714285714285
1881, Benton Harbor Department of Public Safety Total,Property, Burglary Entry Without Force (Intent),6,6,6,0,0,0.0,6,10,-0.4
1882, Benton Harbor Department of Public Safety Total,Property, Burglary Entry w/out Authorization w/or w/out Force,8,8,8,1,0,0.125,8,3,1.6666666666666667
1883, Benton Harbor Department of Public Safety Total,Property, Larceny Pursesnatching,1,1,1,0,0,0.0,1,0,1.6666666666666667
1884, Benton Harbor Department of Public Safety Total,Property, Larceny Theft from Building,22,28,28,1,0,0.03571428571428571,28,48,-0.4166666666666667
1885, Benton Harbor Department of Public Safety Total,Property, Larceny Theft from Motor Vehicle,32,33,33,0,1,0.030303030303030304,33,47,-0.2978723404255319
1886, Benton Harbor Department of Public Safety Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,1,5,5,0,0,0.0,5,10,-0.5
1887, Benton Harbor Department of Public Safety Total,Property, Larceny Other,46,51,51,1,0,0.0196078431372549,51,89,-0.42696629213483145
1888, Benton Harbor Department of Public Safety Total,Property, Motor Vehicle Theft,50,49,49,2,0,0.04081632653061224,49,35,0.4
1889, Benton Harbor Department of Public Safety Total,Property, Motor Vehicle as Stolen Property,8,9,8,1,0,0.125,9,7,0.2857142857142857
1890, Benton Harbor Department of Public Safety Total,Property, Forgery/Counterfeiting,0,3,3,0,0,0.0,3,2,0.5
1891, Benton Harbor Department of Public Safety Total,Property, Fraud False Pretense/Swindle/Confidence Game,3,3,3,0,0,0.0,3,1,2
1892, Benton Harbor Department of Public Safety Total,Property, Fraud Credit Card/ATM,13,14,13,0,0,0.0,14,14,0
1893, Benton Harbor Department of Public Safety Total,Property, Fraud Impersonation,4,4,4,0,0,0.0,4,2,1
1894, Benton Harbor Department of Public Safety Total,Property, Fraud Welfare,2,2,2,0,0,0.0,2,0,1
1895, Benton Harbor Department of Public Safety Total,Property, Fraud Wire,1,1,1,0,0,0.0,1,1,0
1896, Benton Harbor Department of Public Safety Total,Property, Fraud Bad Checks,0,3,3,0,0,0.0,3,1,2
1897, Benton Harbor Department of Public Safety Total,Property, Fraud Identity Theft,6,6,6,0,0,0.0,6,7,-0.14285714285714285
1898, Benton Harbor Department of Public Safety Total,Property, Fraud Hacking/Computer Invasion,1,1,1,0,0,0.0,1,1,0
1899, Benton Harbor Department of Public Safety Total,Property, Stolen Property,3,3,3,0,0,0.0,3,1,2
1900, Benton Harbor Department of Public Safety Total,Property, Damage To Property,206,218,213,1,0,0.004694835680751174,218,253,-0.1383399209486166
1901, Benton Harbor Department of Public Safety Total,Property, Retail Fraud Misrepresentation,0,0,0,0,0,0.0,0,1,-1
1902, Benton Harbor Department of Public Safety Total,Property, Retail Fraud Theft,2,9,9,0,0,0.0,9,13,-0.3076923076923077
1903, Benton Harbor Department of Public Safety Total,Property,,471,512,504,11,1,0.023809523809523808,512,620,-0.17419354838709677
1904, Benton Harbor Department of Public Safety Total,Society, Violation of Controlled Substance,0,8,8,6,0,0.75,8,4,1
1905, Benton Harbor Department of Public Safety Total,Society, Narcotic Equipment Violations,0,1,1,1,0,1.0,1,0,1
1906, Benton Harbor Department of Public Safety Total,Society, Obscenity,0,1,1,0,0,0.0,1,0,1
1907, Benton Harbor Department of Public Safety Total,Society, Family Abuse/Neglect Nonviolent,5,4,4,0,0,0.0,4,4,0
1908, Benton Harbor Department of Public Safety Total,Society, Family Other,98,98,98,0,0,0.0,98,61,0.6065573770491803
1909, Benton Harbor Department of Public Safety Total,Society, Gambling Betting/Wagering,0,0,0,0,0,0.0,0,1,-1
1910, Benton Harbor Department of Public Safety Total,Society, Liquor Violations Other,0,1,1,1,0,1.0,1,0,-1
1911, Benton Harbor Department of Public Safety Total,Society, Drunkenness,0,5,5,0,0,0.0,5,9,-0.4444444444444444
1912, Benton Harbor Department of Public Safety Total,Society, Weapons Offense Concealed,0,16,14,10,0,0.7142857142857143,16,12,0.3333333333333333
1913, Benton Harbor Department of Public Safety Total,Society, Weapons Offense Other,0,210,209,5,0,0.023923444976076555,210,261,-0.19540229885057472
1914, Benton Harbor Department of Public Safety Total,Society, Disorderly Conduct,0,21,21,4,0,0.19047619047619047,21,56,-0.625
1915, Benton Harbor Department of Public Safety Total,Society, Public Peace Other,0,380,378,9,0,0.023809523809523808,380,386,-0.015544041450777202
1916, Benton Harbor Department of Public Safety Total,Society, OUIL or OUID,0,29,29,29,0,1.0,29,7,3.142857142857143
1917, Benton Harbor Department of Public Safety Total,Society, Trespass,134,134,134,1,0,0.007462686567164179,134,246,-0.45528455284552843
1918, Benton Harbor Department of Public Safety Total,Society, Vagrancy,0,0,0,0,0,0.0,0,1,-1
1919, Benton Harbor Department of Public Safety Total,Society, Animal Cruelty,0,2,2,0,0,0.0,2,3,-0.3333333333333333
1920, Benton Harbor Department of Public Safety Total,Society,,237,910,905,66,0,0.07292817679558011,910,1051,-0.13415794481446242
1921, Benton Harbor Department of Public Safety Total,All Other, Sex Offense Other,0,7,6,2,0,0.3333333333333333,7,3,1.3333333333333333
1922, Benton Harbor Department of Public Safety Total,All Other, Obstructing Police,0,26,19,12,0,0.631578947368421,26,13,1
1923, Benton Harbor Department of Public Safety Total,All Other, Escape/Flight,0,1,1,1,0,1.0,1,2,-0.5
1924, Benton Harbor Department of Public Safety Total,All Other, Obstructing Justice,0,179,165,151,0,0.9151515151515152,179,179,0
1925, Benton Harbor Department of Public Safety Total,All Other, Hit And Run Motor Vehicle Accident,64,63,63,1,0,0.015873015873015872,63,46,0.3695652173913043
1926, Benton Harbor Department of Public Safety Total,All Other, Health And Safety,479,479,479,1,0,0.0020876826722338203,479,444,0.07882882882882883
1927, Benton Harbor Department of Public Safety Total,All Other, Civil Rights,1,1,1,0,0,0.0,1,1,0
1928, Benton Harbor Department of Public Safety Total,All Other, Invasion of Privacy Other,1,1,1,0,0,0.0,1,0,0
1929, Benton Harbor Department of Public Safety Total,All Other, Conservation,0,5,5,2,0,0.4,5,5,0
1930, Benton Harbor Department of Public Safety Total,All Other, Juvenile Runaway,21,21,21,0,0,0.0,21,25,-0.16
1931, Benton Harbor Department of Public Safety Total,All Other,,566,783,761,170,0,0.2233902759526938,783,718,0.0905292479108635
1932, Benton Township Police Department Total,All Other,,2074,3676,3360,570,0,0.16964285714285715,3804,3415,0.11390922401171304
1933, Benton Township Police Department Total,Person, Murder/Nonnegligent Manslaughter (Voluntary),3,3,3,0,0,0.0,3,5,-0.4
1934, Benton Township Police Department Total,Person, Kidnapping/Abduction,2,5,1,1,0,1.0,2,8,-0.75
1935, Benton Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,11,7,7,0,0,0.0,11,10,0.1
1936, Benton Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,1,1,1,0,0,0.0,1,5,-0.8
1937, Benton Township Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,2,2,2,1,0,0.5,2,3,-0.3333333333333333
1938, Benton Township Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,1,1,1,0,0,0.0,1,1,0
1939, Benton Township Police Department Total,Person, Sexual Penetration Object CSC 1st,1,1,1,0,0,0.0,1,0,0
1940, Benton Township Police Department Total,Person, Sexual Penetration Object CSC 3rd,1,1,1,0,0,0.0,1,0,0
1941, Benton Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,6,6,6,1,0,0.16666666666666666,6,3,1
1942, Benton Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,7,7,7,0,0,0.0,7,15,-0.5333333333333333
1943, Benton Township Police Department Total,Person, Nonaggravated Assault,428,362,350,78,0,0.22285714285714286,428,335,0.27761194029850744
1944, Benton Township Police Department Total,Person, Aggravated/Felonious Assault,248,199,199,65,0,0.32663316582914576,248,293,-0.15358361774744028
1945, Benton Township Police Department Total,Person, Intimidation/Stalking,106,98,96,1,0,0.010416666666666666,106,104,0.019230769230769232
